ТИП НЕДВИЖИМОСТИ;КЛАСС КВАРТИРЫ;ТИП КВАРТИРЫ;Площадь;Стиль;Цветовая гама;Свет/цвет;Яркость;Ц.А.;ссылки
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;ТЕМНАЯ;ТЕПЛОЕ;ЯРКАЯ;ПАРА;https://disk.yandex.ru/d/eA8nWyXDbcuF6A
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;ТЕМНАЯ;ТЕПЛОЕ;ЯРКАЯ;СЕМЬЯ ( ПАРА+1);https://disk.yandex.ru/d/SuE2Mo_SSA0qEg
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;ТЕМНАЯ;ТЕПЛОЕ;ЯРКАЯ;СЕМЬЯ ( ПАРА+2);https://disk.yandex.ru/d/8Aq6gMAgFJkCUQ
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;ТЕМНАЯ;ХОЛОДНОЕ;ЯРКАЯ;1 ЧЕЛ;https://disk.yandex.ru/d/xDMiAClY2PU_CQ
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;ТЕМНАЯ;ХОЛОДНОЕ;ЯРКАЯ;ПАРА;https://disk.yandex.ru/d/S1ABSQm79T-tRw
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;ТЕМНАЯ;ХОЛОДНОЕ;ЯРКАЯ;СЕМЬЯ ( ПАРА+1);https://disk.yandex.ru/d/F4kt7U1og70anA
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;СВЕТЛАЯ;ТЕПЛОЕ;ЯРКАЯ;1 ЧЕЛ;https://disk.yandex.ru/d/WY9SyQI-rpD8Ow
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;СВЕТЛАЯ;ТЕПЛОЕ;ЯРКАЯ;ПАРА;https://disk.yandex.ru/d/Bd4I_vmI99KJdg
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;СВЕТЛАЯ;ТЕПЛОЕ;ЯРКАЯ;СЕМЬЯ ( ПАРА+1);https://disk.yandex.ru/d/zr3wRlS46RdO2w
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;СВЕТЛАЯ;ТЕПЛОЕ;ЯРКАЯ;СЕМЬЯ ( ПАРА+2);https://disk.yandex.ru/d/CuWHCAOc0vscaQ
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;СВЕТЛАЯ;ХОЛОДНОЕ;ЯРКАЯ;1 ЧЕЛ;https://disk.yandex.ru/d/oO1gwEiSTRpsFg
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;СВЕТЛАЯ;ХОЛОДНОЕ;ЯРКАЯ;ПАРА;https://disk.yandex.ru/d/OUg0vuQC0_kKVA
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;СВЕТЛАЯ;ХОЛОДНОЕ;ЯРКАЯ;СЕМЬЯ ( ПАРА+1);https://disk.yandex.ru/d/8Cv8werhg7sdOw
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;СВЕТЛАЯ;ХОЛОДНОЕ;ЯРКАЯ;СЕМЬЯ ( ПАРА+2);https://disk.yandex.ru/d/qMsx2WNCnjTw0w
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;ТЕМНАЯ;ТЕПЛОЕ;ЯРКАЯ;1 ЧЕЛ;https://disk.yandex.ru/d/mvoA5LRvnGfrRg
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;ТЕМНАЯ;ТЕПЛОЕ;ЯРКАЯ;ПАРА;https://disk.yandex.ru/d/VtUZchTO0HSXLA
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;ТЕМНАЯ;ТЕПЛОЕ;ЯРКАЯ;СЕМЬЯ ( ПАРА+1);https://disk.yandex.ru/d/zsRGOWD39loz2w
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;СКАНДИНАВСКИЙ;ТЕМНАЯ;ТЕПЛОЕ;НЕЙТРАЛЬНАЯ;СЕМЬЯ ( ПАРА+2);https://disk.yandex.ru/d/WaWNpyR6Q_i_pg
Квартиры;БИЗНЕС;ТРЕХКОМНАТНАЯ;100-200;СОВРЕМЕННЫЙ;СВЕТЛАЯ;ХОЛОДНОЕ;ЯРКАЯ;ПАРА;https://disk.yandex.ru/d/_qzQNFTDz8yDIg
Квартиры;ПРЕМИУМ;ОДНОКОМНАТНАЯ;25-50;СОВРЕМЕННЫЙ;СВЕТЛАЯ;ТЕПЛОЕ;НЕЙТРАЛЬНАЯ;1 ЧЕЛ;https://disk.yandex.ru/d/crH-rqWMTWTmAQ
